,artists,name
0,['Ariana Grande'],Santa Tell Me
1,['Mariah Carey'],All I Want for Christmas Is You
2,['Brenda Lee'],Rockin' Around The Christmas Tree
3,['Kelly Clarkson'],Underneath the Tree
4,['Wham!'],Last Christmas - Remastered
5,"['Gwen Stefani', 'Blake Shelton']",You Make It Feel Like Christmas (with Blake Shelton)
6,['Michael Bublé'],It's Beginning to Look a Lot like Christmas
7,['Britney Spears'],My Only Wish (This Year)
8,['Taylor Swift'],Christmas Tree Farm
9,['Sabrina Carpenter'],A Nonsense Christmas
10,['Justin Bieber'],Mistletoe
11,['*NSYNC'],Merry Christmas Happy Holidays
12,['Pentatonix'],Hallelujah
13,"['Kelly Clarkson', 'Ariana Grande']",Santa Can’t You Hear Me
14,"['sped up nightcore', 'Sia']",Snowman - Sped Up Version
15,['Michael Bublé'],Holly Jolly Christmas
16,['Spice Girls'],Christmas Wrapping
17,['MisterWives'],Jingle Bell Rock -Spotify Singles Holiday
18,['Ryland James'],Please Come Home For Christmas
19,"['Pentatonix', 'Meghan Trainor']",Kid On Christmas (feat. Meghan Trainor)
20,['Leona Lewis'],One More Sleep
21,['Jonas Brothers'],Like It's Christmas
22,"['Lindsey Stirling', 'Sabrina Carpenter']",You’re A Mean One Mr. Grinch
23,['John Legend'],You Deserve It All
24,['Hanson'],What Christmas Means To Me
25,"['Laufey', 'dodie']",Love to Keep Me Warm
26,['Sam Smith'],Have Yourself A Merry Little Christmas
27,"['Mariah Carey', 'Ariana Grande', 'Jennifer Hudson']",Oh Santa! (feat. Ariana Grande & Jennifer Hudson)
28,['Ralph'],Hard Candy Christmas
29,['Caylee Hammack'],Christmas (Baby Please Come Home)
30,['Ava Max'],Christmas Without You
31,['Sabrina Carpenter'],Christmas the Whole Year Round
32,['Meghan Trainor'],White Christmas - Spotify Singles - Christmas Recorded at Sound Stage Studios Nashville
33,['Christina Aguilera'],Christmas Time
34,['Tyler Shaw'],This Christmas
35,['Katy Perry'],Cozy Little Christmas
36,['Kylie Minogue'],It's the Most Wonderful Time of the Year
37,['Carpenters'],Merry Christmas Darling - Single Version
38,['Tori Kelly'],Christmas Time Is Here
39,['Backstreet Boys'],Christmas in New York
40,['Elton John'],Step Into Christmas
41,"[""Destiny's Child""]",8 Days of Christmas
42,['Dan + Shay'],Holiday Party
43,['Alessia Cara'],Make It To Christmas
44,['Jessie J'],Man With The Bag
45,['Miley Cyrus'],Sleigh Ride
46,['Bruce Springsteen'],Santa Claus Is Comin' to Town - Live at C.W. Post College Greenvale NY - December 1975
47,"['Kacey Musgraves', 'Troye Sivan']",Glittery - From The Kacey Musgraves Christmas Show
48,"['Ed Sheeran', 'Elton John']",Merry Christmas
49,['Meghan Trainor'],My Kind Of Present
50,"['Bing Crosby', 'The Andrews Sisters']",Mele Kalikimaka (Merry Christmas)
51,['Caveboy'],Jolly Old Saint Nicholas
52,['Sarah Connor'],Ring Out The Bells
53,['salem ilese'],Thank You Note
54,['Tegan and Sara'],Make You Mine This Season
55,['Kelly Clarkson'],Christmas Isn't Canceled (Just You)
56,['Boney M.'],Mary's Boy Child
57,['Sia'],Santa's Coming for Us
58,['Girls Aloud'],Not Tonight Santa
59,"['JP Saxe', 'Julia Michaels']",Kissin' In The Cold
60,"['Michael Bublé', 'The Puppini Sisters']",Jingle Bells (feat. The Puppini Sisters)
61,['Sasha Alex Sloan'],I Saw Mommy Kissing Santa Claus - Spotify Holiday Single
62,"['Darren Criss', 'Lainey Wilson']",Drunk On Christmas
63,['Lukas Graham'],HERE (For Christmas)
64,['Little Mix'],One I've Been Missing
65,"['Ariana Grande', 'Liz Gillies']",Santa Baby
66,['Sigrid'],Home To You (This Christmas)
67,"['Tori Kelly', 'Babyface']",Let It Snow (with Babyface)
68,['OneRepublic'],White Christmas
69,['John Legend'],The Christmas Song (Chestnuts Roasting On An Open Fire)
70,['Jason Mraz'],Winter Wonderland
71,['Paul McCartney'],Wonderful Christmastime - Edited Version / Remastered 2011
72,['Pentatonix'],I'll Be Home For Christmas
73,['Whitney Houston'],Do You Hear What I Hear?
74,['Kelly Clarkson'],My Favorite Things
75,"['John Lennon', 'Yoko Ono']",Happy Xmas (War Is Over) - Remastered 2010
76,['Train'],Shake Up Christmas
77,['Noah Cyrus'],It's Beginning to Look a Lot Like Christmas
78,['Band Aid'],Do They Know It's Christmas? - 1984 Version
79,['Christina Perri'],merry christmas darling
80,['Ariana Grande'],Santa Tell Me
81,['Demi Lovato'],Heart Attack
82,"['Ariana Grande', 'Justin Bieber']",Stuck with U (with Justin Bieber)
83,"['Thomas Rhett', 'Kane Brown', 'Ava Max']",On Me (feat. Ava Max)
84,['Ricky Montgomery'],Line Without a Hook
85,['Mariah Carey'],All I Want for Christmas Is You
86,"['Pretenders', 'Bob Clearmountain']",I'll Stand by You
87,['Ozzy Osbourne'],"Mama, I'm Coming Home"
88,['Coldplay'],Paradise
89,['Lifehouse'],You And Me
90,['Brenda Lee'],Rockin' Around The Christmas Tree
91,['Ella Fitzgerald'],Frosty The Snowman
92,['Johnny Cash'],Ring of Fire
93,['Joni Mitchell'],Big Yellow Taxi
94,['Billy Squier'],The Stroke - Remastered
95,['Kelly Clarkson'],Underneath the Tree
96,['Russell Dickerson'],Blue Tacoma
97,['Fall Out Boy'],"Sugar, We're Goin Down"
98,['Neon Trees'],Everybody Talks
99,"['T-Pain', 'Chris Brown']",Best Love Song (feat. Chris Brown)
100,['Wham!'],Last Christmas - Remastered
101,['Godsmack'],Voodoo
102,['Wisin & Yandel'],Sexy Movimiento
103,"['Pedro Capó', 'Farruko']",Calma - Remix
104,['Alan Jackson'],Where I Come From
105,"['Gwen Stefani', 'Blake Shelton']",You Make It Feel Like Christmas (feat. Blake Shelton)
106,['Niall Horan'],No Judgement
107,['Juanes'],Me Enamora
108,['Dustin Lynch'],Seein' Red
109,['Franz Ferdinand'],No You Girls
110,['Michael Bublé'],It's Beginning to Look a Lot like Christmas
111,['Michael Bublé'],It's Beginning to Look a Lot like Christmas
112,['Michael Bublé'],It's Beginning to Look a Lot like Christmas
113,['Sam Smith'],Have Yourself A Merry Little Christmas
114,['Ray Charles'],I Can't Stop Loving You
115,['Britney Spears'],My Only Wish (This Year)
